"","CLUSTER","LOC_ID_col","LOC_ID_gis","START_DATE","END_DATE","LATITUDE","LONGITUDE","RADIUS","NUMBER_LOC","P_VALUE","RECURR_INT","OBSERVED","EXPECTED","ODE","GINI_CLUST"
"1",1,92055,92055,"2021/11/10",2022-02-01,33.3877393478,-117.4447961712,0,1,1e-17,7e+17,1150,93963.5110534135,0.0122387934,FALSE
"2",2,92310,92310,"2021/11/10",2022-02-01,35.2617389934,-116.690638605,0,1,1e-17,7e+17,4428,78844.6902778834,0.0561610425,FALSE
"3",3,92278,92278,"2021/11/10",2022-02-01,34.2299736656,-116.0550541267,0,1,1e-17,7e+17,410,39054.9569954264,0.0104980272,FALSE
"4",4,94568,94568,"2021/12/22",2022-02-01,37.7152403529,-121.914682053,0,1,1e-17,7e+17,0,15861.5837613327,0,FALSE
"5",5,93437,93437,"2021/11/10",2022-02-01,34.7373563247,-120.5434859334,0,1,1e-17,7e+17,4632,27050.9487410039,0.1712324416,FALSE
"6",6,94582,94582,"2022/1/26",2022-02-01,37.763595451,-121.9155136357,0,1,1e-17,7e+17,0,12144.3459614174,0,FALSE
"7",7,96136,96136,"2021/11/10",2022-02-01,40.3083463668,-120.1189284605,25.2420375806,3,1e-17,7e+17,3862,20845.2837951049,0.1852697252,FALSE
"8",7,96136,96113,"2021/11/10",2022-02-01,40.3083463668,-120.1189284605,25.2420375806,3,1e-17,7e+17,3862,20845.2837951049,0.1852697252,FALSE
"9",7,96136,96128,"2021/11/10",2022-02-01,40.3083463668,-120.1189284605,25.2420375806,3,1e-17,7e+17,3862,20845.2837951049,0.1852697252,FALSE
"10",8,92275,92275,"2021/11/10",2022-02-01,33.2518714652,-115.8565819556,0,1,1e-17,7e+17,4489,21020.9911680905,0.2135484461,FALSE
"11",9,92602,92602,"2021/12/8",2022-02-01,33.7459208115,-117.7486476417,0,1,1e-17,7e+17,0,6628.3895023351,0,FALSE
"12",10,92242,92242,"2021/11/10",2022-02-01,34.1651586438,-114.3196712311,0,1,1e-17,7e+17,1374,10478.5487889569,0.1311250277,FALSE
"13",11,95742,95742,"2021/12/15",2022-02-01,38.575062036,-121.1982808128,0,1,1e-17,7e+17,0,3557.5038244738,0,FALSE
"14",12,93928,93928,"2021/11/10",2022-02-01,36.0324036587,-121.2395277268,0,1,1e-17,7e+17,1198,6820.6407513485,0.175643322,FALSE
"15",13,94707,94707,"2021/12/8",2022-02-01,37.8981899599,-122.2791304451,0,1,1e-17,7e+17,0,3356.4101589628,0,FALSE
"16",14,90401,90401,"2022/1/26",2022-02-01,34.0141913753,-118.4941198844,0,1,1e-17,7e+17,0,2028.3362488641,0,FALSE
"17",15,90021,90021,"2022/1/5",2022-02-01,34.0293396302,-118.2387681277,0,1,1e-17,7e+17,0,840.0295672767,0,FALSE
"18",16,94973,94973,"2022/1/12",2022-02-01,38.0126969598,-122.6395983225,0,1,1e-17,7e+17,0,350.2737890037,0,FALSE
"19",17,91917,91917,"2022/1/26",2022-02-01,32.6088648646,-116.7196668025,0,1,1e-17,7e+17,0,281.2458924736,0,FALSE
"20",18,95466,95466,"2021/11/17",2022-02-01,39.0862142935,-123.5039611846,0,1,1e-17,7e+17,0,278.393500055,0,FALSE
"21",19,95939,95939,"2021/12/15",2022-02-01,39.5633102644,-122.5929441994,0,1,1e-17,7e+17,129,575.2324710837,0.2242571595,FALSE
"22",20,93563,93563,"2021/11/10",2022-02-01,34.3966066614,-117.7604384204,0,1,1e-17,7e+17,140,577.0389862821,0.2426179224,FALSE
"23",21,94586,94586,"2022/1/5",2022-02-01,37.5737890346,-121.8513160022,0,1,1e-17,7e+17,0,237.0338099854,0,FALSE
"24",22,96124,96124,"2022/1/26",2022-02-01,39.6434061636,-120.4504278823,17.9599479481,5,1e-17,7e+17,89,402.1873310221,0.2212899143,FALSE
