CLUSTER,LOC_ID,LATITUDE,LONGITUDE,RADIUS,START_DATE,END_DATE,NUMBER_LOC,LLR,P_VALUE,RECURR_INT,OBSERVED,EXPECTED,ODE,REL_RISK,POPULATION,GINI_CLUST
1,92055,33.3877393478,-117.4447961712,0,2022/1/5,2022/2/8,1,262.6456225028,1e-17,7e+17,3,279.2357216679,0.0107436111,0.0107428152,11765,FALSE
2,92310,35.2617389934,-116.690638605,0,2022/1/5,2022/2/8,1,189.6670289474,1e-17,7e+17,11,234.3064211055,0.0469470702,0.0469442586,9872,FALSE
3,96121,40.1688631687,-120.373153581,37.923642642,2022/1/12,2022/2/8,8,118.4428735921,1e-17,7e+17,16,172.4829440293,0.0927627951,0.0927589021,9084,FALSE
4,92278,34.2299736656,-116.0550541267,0,2022/1/5,2022/2/8,1,116.0632325241,1e-17,7e+17,0,116.0614261756,0,0,4890,FALSE
5,94582,37.763595451,-121.9155136357,0,2022/1/26,2022/2/8,1,86.6168041327,1e-17,7e+17,0,86.6157980868,0,0,39254.47,FALSE
6,95633,38.8478353185,-120.8258232078,0,2022/1/12,2022/2/8,1,60.6877768747,1e-17,7e+17,5,79.5198777625,0.0628773602,0.0628761036,4188,FALSE
7,95379,37.9469203522,-120.1939807609,13.4585685584,2022/1/26,2022/2/8,3,51.2478578546,1e-17,7e+17,5,69.3995112756,0.0720466169,0.0720453725,7310,FALSE
8,93605,37.2031577289,-119.2492428815,33.8205209497,2022/2/2,2022/2/8,9,37.3659648049,2.043e-14,342665189039060,5,54.290164874,0.0920977126,0.0920964951,11638.42,FALSE
9,96065,40.8881941195,-121.8808430057,30.1565068049,2022/2/2,2022/2/8,8,31.8832479171,3.885e-12,1801800210990,1,36.4798388613,0.0274124018,0.0274121409,7685,FALSE
10,94020,37.2842225482,-122.2283072195,10.5482572063,2022/2/2,2022/2/8,3,30.9688768212,9.32321e-12,750814456311,3,41.8770511951,0.0716382819,0.071637535,9140.92,FALSE
11,92242,34.1651586438,-114.3196712311,0,2022/1/5,2022/2/8,1,26.7012310296,5.545816e-10,12622128040,1,31.1395891907,0.0321134615,0.032113202,1312,FALSE
12,96135,39.8086828585,-120.2056549995,18.9836174072,2022/1/19,2022/2/8,4,25.0258740297,2.75769041e-09,2538356001,3,35.4328108624,0.0846672879,0.0846665515,2286.32,FALSE
13,95916,39.6607260182,-121.3635960226,0,2022/1/5,2022/2/8,1,24.6941722839,3.78844056e-09,1847725967,2,32.2551080108,0.0620056829,0.0620051798,1359,FALSE
14,93437,34.7373563247,-120.5434859334,14.2380140318,2022/1/26,2022/2/8,2,23.2818360544,1.464474231e-08,477987243,3,33.5225272659,0.0894920594,0.0894913268,3488.11,FALSE
