LOC_ID,CLUSTER,P_VALUE,RECURR_INT,CLU_OBS,CLU_EXP,CLU_ODE,CLU_RR,CLU_POP,LOC_OBS,LOC_EXP,LOC_ODE,LOC_RR,LOC_POP,LOC_LAT,LOC_LONG,GINI_CLUST
92055,1,1e-17,7e+17,3,279.2357216679,0.0107436111,0.0107428152,11765,3,279.2357216679,0.0107436111,0.0107428152,11765,33.3877393478,-117.4447961712,FALSE
92310,2,1e-17,7e+17,11,234.3064211055,0.0469470702,0.0469442586,9872,11,234.3064211055,0.0469470702,0.0469442586,9872,35.2617389934,-116.690638605,FALSE
96121,3,1e-17,7e+17,16,172.4829440293,0.0927627951,0.0927589021,9084,2,6.7975444697,0.2942238935,0.2942235149,358,40.1688631687,-120.373153581,FALSE
96114,3,1e-17,7e+17,16,172.4829440293,0.0927627951,0.0927589021,9084,6,62.0323401744,0.0967237409,0.0967222874,3267,40.2947238585,-120.4969965781,FALSE
96113,3,1e-17,7e+17,16,172.4829440293,0.0927627951,0.0927589021,9084,0,36.5510421903,0,0,1925,40.1429144399,-120.1584855476,FALSE
96128,3,1e-17,7e+17,16,172.4829440293,0.0927627951,0.0927589021,9084,2,13.0064747534,0.1537695677,0.1537691138,685,40.3551881319,-120.4104997819,FALSE
96136,3,1e-17,7e+17,16,172.4829440293,0.0927627951,0.0927589021,9084,0,0,0,0,0,40.3083463668,-120.1189284605,FALSE
96109,3,1e-17,7e+17,16,172.4829440293,0.0927627951,0.0927589021,9084,0,15.4178941603,0,0,812,40.0196677755,-120.097955611,FALSE
95983,3,1e-17,7e+17,16,172.4829440293,0.0927627951,0.0927589021,9084,3,7.2152706661,0.4157848179,0.4157843479,380,40.0779447667,-120.7073023837,FALSE
95947,3,1e-17,7e+17,16,172.4829440293,0.0927627951,0.0927589021,9084,3,31.4623776152,0.09535198,0.0953512521,1657,40.1745556598,-120.8197130883,FALSE
92278,4,1e-17,7e+17,0,116.0614261756,0,0,4890,0,116.0614261756,0,0,4890,34.2299736656,-116.0550541267,FALSE
94582,5,1e-17,7e+17,0,86.6157980868,0,0,39254.47,0,86.6157980868,0,0,39254.47,37.763595451,-121.9155136357,FALSE
95633,6,1e-17,7e+17,5,79.5198777625,0.0628773602,0.0628761036,4188,5,79.5198777625,0.0628773602,0.0628761036,4188,38.8478353185,-120.8258232078,FALSE
95379,7,1e-17,7e+17,5,69.3995112756,0.0720466169,0.0720453725,7310,3,38.0035901007,0.0789399105,0.0789391694,4003,37.9469203522,-120.1939807609,FALSE
95372,7,1e-17,7e+17,5,69.3995112756,0.0720466169,0.0720453725,7310,2,19.5192059073,0.1024631847,0.1024627033,2056,37.9916812509,-120.2608778244,FALSE
95346,7,1e-17,7e+17,5,69.3995112756,0.0720466169,0.0720453725,7310,0,11.8767152675,0,0,1251,38.0674824093,-120.1793513478,FALSE
93605,8,2.043e-14,342665189039060,5,54.290164874,0.0920977126,0.0920964951,11638.42,0,0,0,0,5.62,37.2031577289,-119.2492428815,FALSE
93664,8,2.043e-14,342665189039060,5,54.290164874,0.0920977126,0.0920964951,11638.42,2,1.8038176665,1.1087595144,1.1087595727,380,37.0952844824,-119.2110323145,FALSE
93643,8,2.043e-14,342665189039060,5,54.290164874,0.0920977126,0.0920964951,11638.42,2,13.2105909631,0.1513936814,0.1513932263,2783,37.2264544026,-119.4667702316,FALSE
93602,8,2.043e-14,342665189039060,5,54.290164874,0.0920977126,0.0920964951,11638.42,0,16.7565167444,0,0,3530,37.0349994229,-119.3142517874,FALSE
