LOC_ID,CLUSTER,P_VALUE,RECURR_INT,CLU_OBS,CLU_EXP,CLU_ODE,LOC_OBS,LOC_EXP,LOC_ODE,LOC_LAT,LOC_LONG,GINI_CLUST
11691,1,0.471698113207547,2,2,0.1886792453,10.6,0,0,0,40.60124,-73.76363,FALSE
11096,1,0.471698113207547,2,2,0.1886792453,10.6,1,0.0943396226,10.6,40.62004,-73.75555,FALSE
11692,1,0.471698113207547,2,2,0.1886792453,10.6,1,0.0943396226,10.6,40.59511,-73.79679,FALSE
10031,2,0.933962264150943,1,3,0.6603773585,4.5428571429,0,0.0943396226,0,40.82688,-73.9493,FALSE
10039,2,0.933962264150943,1,3,0.6603773585,4.5428571429,0,0,0,40.82768,-73.93809,FALSE
10030,2,0.933962264150943,1,3,0.6603773585,4.5428571429,0,0,0,40.81847,-73.94236,FALSE
10032,2,0.933962264150943,1,3,0.6603773585,4.5428571429,0,0,0,40.83901,-73.94217,FALSE
10027,2,0.933962264150943,1,3,0.6603773585,4.5428571429,1,0.1886792453,5.3,40.81288,-73.953,FALSE
10037,2,0.933962264150943,1,3,0.6603773585,4.5428571429,0,0.0943396226,0,40.81377,-73.93755,FALSE
10452,2,0.933962264150943,1,3,0.6603773585,4.5428571429,1,0.0943396226,10.6,40.83707,-73.92242,FALSE
10451,2,0.933962264150943,1,3,0.6603773585,4.5428571429,0,0,0,40.81899,-73.92106,FALSE
10026,2,0.933962264150943,1,3,0.6603773585,4.5428571429,1,0.1886792453,5.3,40.80408,-73.95284,FALSE
