"","GEOID","RPL_theme1","RPL_theme2","RPL_theme3","RPL_theme4","RPL_themes","year","state"
"1","06001400100",0.012,0.4479,0.1188,0.0304,0.0289,2020,"CA"
"2","06001400200",0.104,0.1507,0.1761,0.5746,0.2004,2020,"CA"
"3","06001400300",0.127,0.2892,0.2412,0.8487,0.3581,2020,"CA"
"4","06001400400",0.1078,0.1346,0.2036,0.4453,0.162,2020,"CA"
"5","06001400500",0.2981,0.0345,0.4151,0.2312,0.1337,2020,"CA"
"6","06001400600",0.1694,0.0643,0.4242,0.2785,0.1287,2020,"CA"
"7","06001400700",0.5162,0.4128,0.4281,0.5563,0.5059,2020,"CA"
"8","06001400800",0.3041,0.1862,0.3615,0.5977,0.3459,2020,"CA"
"9","06001400900",0.4726,0.1295,0.5228,0.2452,0.3118,2020,"CA"
"10","06001401000",0.48,0.0628,0.5123,0.5763,0.3808,2020,"CA"
"11","06001401100",0.5495,0.0439,0.3348,0.8098,0.4454,2020,"CA"
"12","06001401200",0.3632,0.0214,0.2101,0.3862,0.1567,2020,"CA"
"13","06001401300",0.5397,0.3964,0.4741,0.9391,0.6665,2020,"CA"
"14","06001401400",0.7884,0.2869,0.6091,0.8032,0.7102,2020,"CA"
"15","06001401500",0.6486,0.4126,0.5365,0.5824,0.5993,2020,"CA"
"16","06001401600",0.8611,0.5406,0.712,0.8659,0.8443,2020,"CA"
"17","06001401700",0.5048,0.0903,0.4862,0.8058,0.4838,2020,"CA"
"18","06001401800",0.4106,0.2244,0.5312,0.5934,0.4302,2020,"CA"
"19","06001402200",0.5321,0.6466,0.5814,0.4295,0.5488,2020,"CA"
"20","06001402400",0.8525,0.6541,0.6541,0.7181,0.8004,2020,"CA"
"21","06001402500",0.7796,0.8209,0.8624,0.6097,0.8023,2020,"CA"
"22","06001402600",0.7679,0.968,0.8086,0.6628,0.8635,2020,"CA"
"23","06001402700",0.4317,0.3175,0.5881,0.7207,0.5117,2020,"CA"
"24","06001402801",0.5477,0.6056,0.548,0.9885,0.7804,2020,"CA"
"25","06001402802",0.9016,0.4856,0.6341,0.9219,0.8692,2020,"CA"
"26","06001402900",0.6805,0.7348,0.6414,0.9091,0.8105,2020,"CA"
"27","06001403000",0.8052,0.8594,0.8588,0.9948,0.9686,2020,"CA"
"28","06001403100",0.6022,0.0795,0.5708,0.9407,0.6097,2020,"CA"
"29","06001403301",0.8814,0.9685,0.758,0.6477,0.9032,2020,"CA"
"30","06001403302",0.134,0.0306,0.4466,0.443,0.1214,2020,"CA"
"31","06001403401",0.4687,0.8344,0.4017,0.7839,0.6561,2020,"CA"
"32","06001403402",0.5074,0.0154,0.6084,0.7029,0.3557,2020,"CA"
"33","06001403501",0.5361,0.3548,0.4831,0.711,0.5569,2020,"CA"
"34","06001403502",0.313,0.138,0.3968,0.9363,0.4743,2020,"CA"
"35","06001403600",0.3978,0.0486,0.5843,0.9115,0.4611,2020,"CA"
"36","06001403701",0.3972,0.1599,0.4106,0.7719,0.4471,2020,"CA"
"37","06001403702",0.1844,0.0808,0.3113,0.5279,0.2084,2020,"CA"
"38","06001403800",0.0672,0.0453,0.1993,0.6722,0.1416,2020,"CA"
"39","06001403900",0.1758,0.0671,0.2444,0.8143,0.2801,2020,"CA"
"40","06001404000",0.1878,0.07,0.3194,0.349,0.1503,2020,"CA"
"41","06001404101",0.0776,0.0841,0.1637,0.5203,0.1355,2020,"CA"
"42","06001404102",0.2295,0.6083,0.27,0.8514,0.4952,2020,"CA"
"43","06001404200",0.1316,0.467,0.205,0.3285,0.2258,2020,"CA"
"44","06001404300",0.063,0.0727,0.1583,0.5104,0.1182,2020,"CA"
"45","06001404400",0.011,0.1068,0.2058,0.1207,0.0251,2020,"CA"
"46","06001404501",0.0061,0.3612,0.1583,0.0183,0.0137,2020,"CA"
"47","06001404502",0.0106,0.2159,0.1215,0.1996,0.0546,2020,"CA"
"48","06001404600",0.1354,0.3829,0.1993,0.1369,0.1307,2020,"CA"
"49","06001404700",0.0391,0.1805,0.1532,0.0189,0.012,2020,"CA"
"50","06001404800",0.2341,0.4415,0.3271,0.3379,0.2922,2020,"CA"
"51","06001404900",0.0796,0.2414,0.2768,0.4096,0.1763,2020,"CA"
"52","06001405000",0.1158,0.3273,0.2768,0.3224,0.1895,2020,"CA"
"53","06001405100",0.0017,0.0944,0.2444,0.0213,0.0028,2020,"CA"
"54","06001405200",0.3148,0.1333,0.5141,0.5992,0.3547,2020,"CA"
"55","06001405301",0.3745,0.0395,0.3142,0.3863,0.2121,2020,"CA"
"56","06001405302",0.573,0.5417,0.5188,0.547,0.5769,2020,"CA"
"57","06001405401",0.5962,0.4115,0.6084,0.8691,0.6776,2020,"CA"
"58","06001405402",0.7464,0.3541,0.6961,0.9107,0.7676,2020,"CA"
"59","06001405500",0.5487,0.3815,0.671,0.5084,0.5323,2020,"CA"
"60","06001405600",0.6537,0.3217,0.6686,0.7731,0.6532,2020,"CA"
"61","06001405700",0.6284,0.0946,0.7203,0.7502,0.5617,2020,"CA"
"62","06001405800",0.8279,0.6964,0.7728,0.3405,0.7011,2020,"CA"
"63","06001405901",0.8587,0.9224,0.9624,0.9738,0.9757,2020,"CA"
"64","06001405902",0.8871,0.8214,0.7813,0.5417,0.8269,2020,"CA"
"65","06001406000",0.8028,0.7151,0.7242,0.8905,0.8611,2020,"CA"
"66","06001406100",0.8265,0.3922,0.7511,0.8225,0.7823,2020,"CA"
"67","06001406201",0.8441,0.7806,0.9213,0.9044,0.9199,2020,"CA"
"68","06001406202",0.8104,0.9554,0.8305,0.9982,0.9885,2020,"CA"
"69","06001406300",0.8296,0.9396,0.8324,0.9504,0.9568,2020,"CA"
"70","06001406400",0.576,0.9651,0.6039,0.9111,0.8384,2020,"CA"
"71","06001406500",0.7737,0.9263,0.7906,0.9457,0.9329,2020,"CA"
"72","06001406601",0.8055,0.7181,0.6911,0.4845,0.7275,2020,"CA"
"73","06001406602",0.7734,0.6539,0.7432,0.7149,0.7728,2020,"CA"
"74","06001406700",0.1544,0.3806,0.4412,0.2616,0.2242,2020,"CA"
"75","06001406800",0.1624,0.6672,0.5871,0.4246,0.3696,2020,"CA"
"76","06001406900",0.3955,0.4293,0.5159,0.3569,0.4001,2020,"CA"
"77","06001407000",0.6798,0.6306,0.712,0.8042,0.7476,2020,"CA"
"78","06001407101",0.9594,0.5052,0.8649,0.5291,0.8063,2020,"CA"
"79","06001407102",0.7,0.6324,0.8232,0.8474,0.7891,2020,"CA"
"80","06001407200",0.9146,0.7764,0.8324,0.9976,0.9836,2020,"CA"
"81","06001407300",0.9142,0.295,0.7801,0.823,0.8081,2020,"CA"
"82","06001407400",0.8588,0.9652,0.9286,0.7873,0.9381,2020,"CA"
"83","06001407500",0.9456,0.865,0.8501,0.9895,0.9888,2020,"CA"
"84","06001407600",0.574,0.6708,0.643,0.4773,0.598,2020,"CA"
"85","06001407700",0.2517,0.6685,0.5097,0.3765,0.3914,2020,"CA"
"86","06001407800",0.4782,0.0964,0.5664,0.7297,0.46,2020,"CA"
"87","06001407900",0.1837,0.5946,0.3882,0.149,0.2314,2020,"CA"
"88","06001408000",0.0856,0.2589,0.285,0.307,0.1558,2020,"CA"
"89","06001408100",0.1688,0.212,0.495,0.0504,0.0927,2020,"CA"
"90","06001408200",0.5231,0.649,0.7065,0.3061,0.5177,2020,"CA"
"91","06001408300",0.6288,0.2127,0.6845,0.3459,0.4765,2020,"CA"
"92","06001408400",0.723,0.6416,0.8368,0.5857,0.7172,2020,"CA"
"93","06001408500",0.8933,0.7329,0.9438,0.666,0.8563,2020,"CA"
"94","06001408600",0.8702,0.7913,0.9318,0.7169,0.8732,2020,"CA"
"95","06001408700",0.7888,0.7265,0.8541,0.8689,0.8632,2020,"CA"
"96","06001408800",0.9075,0.9393,0.8662,0.6144,0.9008,2020,"CA"
"97","06001408900",0.9434,0.8881,0.9026,0.993,0.9926,2020,"CA"
"98","06001409000",0.8189,0.8423,0.9643,0.9047,0.9265,2020,"CA"
"99","06001409100",0.5655,0.887,0.835,0.3218,0.63,2020,"CA"
"100","06001409200",0.725,0.5924,0.9469,0.3753,0.6651,2020,"CA"
"101","06001409300",0.8746,0.8222,0.9213,0.8851,0.9311,2020,"CA"
"102","06001409400",0.8164,0.779,0.9142,0.5979,0.8117,2020,"CA"
"103","06001409500",0.9391,0.9061,0.8112,0.9508,0.9746,2020,"CA"
"104","06001409600",0.9093,0.855,0.9229,0.5565,0.8655,2020,"CA"
"105","06001409700",0.873,0.9176,0.8884,0.8871,0.9475,2020,"CA"
"106","06001409800",0.4623,0.3791,0.6826,0.7835,0.5813,2020,"CA"
"107","06001409900",0.0951,0.1726,0.5881,0.1949,0.1333,2020,"CA"
"108","06001410000",0.1856,0.2509,0.5497,0.0411,0.1039,2020,"CA"
"109","06001410100",0.4184,0.6439,0.737,0.8693,0.6613,2020,"CA"
"110","06001410200",0.5479,0.7673,0.9643,0.6435,0.6938,2020,"CA"
"111","06001410300",0.9134,0.7246,0.9417,0.2444,0.7424,2020,"CA"
"112","06001410400",0.6369,0.4725,0.9007,0.8285,0.7252,2020,"CA"
"113","06001410500",0.7427,0.9149,0.671,0.6398,0.8006,2020,"CA"
"114","06001420100",0.0147,0.3641,0.2489,0.0852,0.0535,2020,"CA"
"115","06001420200",0.2159,0.425,0.5352,0.5669,0.3823,2020,"CA"
"116","06001420301",0.1118,0.2877,0.4998,0.7217,0.3318,2020,"CA"
"117","06001420302",0.3309,0.1347,0.545,0.3423,0.2848,2020,"CA"
"118","06001420401",0.4602,0.2024,0.5312,0.5802,0.4459,2020,"CA"
"119","06001420402",0.4217,0.1252,0.5744,0.6613,0.4279,2020,"CA"
"120","06001420500",0.2893,0.4327,0.3534,0.7175,0.4428,2020,"CA"
"121","06001420600",0.0205,0.3107,0.1953,0.2377,0.0941,2020,"CA"
"122","06001421100",0.069,0.2084,0.0354,0.0165,0.0159,2020,"CA"
"123","06001421200",0.0023,0.2757,0.1878,0.0042,0.0037,2020,"CA"
"124","06001421300",0.0892,0.1388,0.0735,0.0878,0.043,2020,"CA"
"125","06001421400",0.0389,0.2059,0.0635,0.1098,0.042,2020,"CA"
"126","06001421500",0.0475,0.0629,0.0523,0.1087,0.0191,2020,"CA"
"127","06001421600",0.027,0.1565,0.1282,0.2586,0.0698,2020,"CA"
"128","06001421700",0.2084,0.2674,0.1422,0.832,0.3759,2020,"CA"
"129","06001421800",0.0806,0.0901,0.1267,0.3976,0.1064,2020,"CA"
"130","06001421900",0.1108,0.1901,0.3001,0.5779,0.2356,2020,"CA"
"131","06001422000",0.2497,0.2354,0.2501,0.8456,0.4084,2020,"CA"
"132","06001422100",0.2881,0.6401,0.3492,0.3515,0.3714,2020,"CA"
"133","06001422200",0.1631,0.058,0.2577,0.6606,0.2102,2020,"CA"
"134","06001422300",0.2926,0.0579,0.2784,0.3796,0.1909,2020,"CA"
"135","06001422400",0.6001,0.0163,0.487,0.5244,0.3323,2020,"CA"
"136","06001422500",0.7159,0.0138,0.417,0.86,0.4943,2020,"CA"
"137","06001422700",0.6282,0.0074,0.4707,0.9997,0.6002,2020,"CA"
"138","06001422800",0.7423,0.0024,0.6015,0.948,0.5166,2020,"CA"
"139","06001422901",0.5486,0.0101,0.5058,0.9877,0.5066,2020,"CA"
"140","06001422902",0.3979,0.1148,0.5116,0.9091,0.5013,2020,"CA"
"141","06001423000",0.2664,0.1431,0.2504,0.6033,0.3015,2020,"CA"
"142","06001423100",0.4097,0.6006,0.4187,0.8517,0.6013,2020,"CA"
"143","06001423200",0.3139,0.4121,0.5324,0.625,0.4448,2020,"CA"
"144","06001423300",0.5159,0.8892,0.3713,0.2487,0.5184,2020,"CA"
"145","06001423400",0.4737,0.2613,0.3968,0.796,0.522,2020,"CA"
"146","06001423500",0.3907,0.4096,0.3757,0.8529,0.5415,2020,"CA"
"147","06001423601",0.2236,0.1581,0.1019,0.6695,0.288,2020,"CA"
"148","06001423602",0.5134,0.0269,0.3566,0.9029,0.4447,2020,"CA"
"149","06001423700",0.2217,0.0517,0.2012,0.7539,0.2576,2020,"CA"
"150","06001423800",0.1116,0.0926,0.0523,0.0781,0.0334,2020,"CA"
"151","06001423901",0.4064,0.1313,0.2629,0.7515,0.4109,2020,"CA"
"152","06001423902",0.1081,0.0352,0.1347,0.5836,0.122,2020,"CA"
"153","06001424001",0.6618,0.3314,0.3779,0.8354,0.6476,2020,"CA"
"154","06001424002",0.5529,0.3608,0.5772,0.6282,0.5535,2020,"CA"
"155","06001425101",0.3447,0.2562,0.3511,0.4046,0.3244,2020,"CA"
"156","06001425102",0.0857,0.016,0.5352,0.5619,0.1085,2020,"CA"
"157","06001425103",0.2878,0.0102,0.4639,0.5907,0.1779,2020,"CA"
"158","06001425104",0.3367,0.1459,0.4998,0.7784,0.4264,2020,"CA"
"159","06001426100",0.0044,0.277,0.1305,0.0306,0.0118,2020,"CA"
"160","06001426200",0.0972,0.3024,0.1646,0.0525,0.0595,2020,"CA"
"161","06001427100",0.1121,0.5224,0.2815,0.1546,0.1662,2020,"CA"
"162","06001427200",0.4546,0.589,0.5586,0.8931,0.6563,2020,"CA"
"163","06001427300",0.3008,0.6227,0.5352,0.5291,0.4576,2020,"CA"
"164","06001427600",0.3991,0.375,0.5958,0.7955,0.5403,2020,"CA"
"165","06001427700",0.1481,0.289,0.3296,0.7105,0.3257,2020,"CA"
"166","06001427800",0.3431,0.229,0.3837,0.2624,0.2736,2020,"CA"
"167","06001427900",0.3533,0.2938,0.3566,0.3297,0.3142,2020,"CA"
"168","06001428000",0.4067,0.5308,0.5312,0.4477,0.4606,2020,"CA"
"169","06001428100",0.1163,0.5782,0.3492,0.577,0.3385,2020,"CA"
"170","06001428200",0.1585,0.5773,0.3492,0.1786,0.2251,2020,"CA"
"171","06001428301",0.0944,0.2983,0.5934,0.0874,0.1151,2020,"CA"
"172","06001428302",0.1122,0.4105,0.4274,0.2956,0.2177,2020,"CA"
"173","06001428400",0.369,0.3357,0.5087,0.6597,0.4581,2020,"CA"
"174","06001428500",0.2787,0.7057,0.4422,0.9866,0.6667,2020,"CA"
"175","06001428600",0.1701,0.5172,0.3882,0.8013,0.4377,2020,"CA"
"176","06001428700",0.5286,0.6768,0.6039,0.8622,0.6948,2020,"CA"
"177","06001430101",0.1063,0.2909,0.5409,0.0591,0.0932,2020,"CA"
"178","06001430102",0.0344,0.1785,0.3383,0.1118,0.0537,2020,"CA"
"179","06001430200",0.1522,0.4156,0.3327,0.2907,0.2279,2020,"CA"
"180","06001430300",0.0962,0.424,0.3316,0.1127,0.1236,2020,"CA"
"181","06001430400",0.1498,0.0839,0.3091,0.251,0.1119,2020,"CA"
"182","06001430500",0.5629,0.6044,0.6205,0.94,0.737,2020,"CA"
"183","06001430600",0.2414,0.5843,0.4454,0.2764,0.3218,2020,"CA"
"184","06001430700",0.1669,0.4138,0.4639,0.3101,0.2601,2020,"CA"
"185","06001430800",0.2485,0.5459,0.417,0.7705,0.4748,2020,"CA"
"186","06001430900",0.5565,0.6127,0.4769,0.9458,0.7203,2020,"CA"
"187","06001431000",0.4098,0.6073,0.5678,0.7085,0.5651,2020,"CA"
"188","06001431100",0.4151,0.2514,0.5545,0.7157,0.4803,2020,"CA"
"189","06001431200",0.2569,0.4494,0.4087,0.6879,0.4276,2020,"CA"
"190","06001432100",0.1779,0.2127,0.4988,0.45,0.2653,2020,"CA"
