"","GEOID","RPL_theme1","RPL_theme2","RPL_theme3","RPL_theme4","RPL_themes","year","state"
"1","89010",0.5975,0.3374,0.4596,0.4746,0.5236,2020,"CA"
"2","89019",0.455,0.3691,0.2509,0.5254,0.4429,2020,"CA"
"3","89060",0.6972,0.6903,0.2837,0.5484,0.6592,2020,"CA"
"4","89061",0.4775,0.4487,0.2636,0.2693,0.3697,2020,"CA"
"5","89439",0.2941,0.0871,0.034,0.1234,0.0882,2020,"CA"
"6","90001",0.9815,0.8085,0.9913,0.6107,0.9204,2020,"CA"
"7","90002",0.9902,0.8697,0.9942,0.7578,0.9683,2020,"CA"
"8","90003",0.989,0.9233,0.9931,0.7728,0.9769,2020,"CA"
"9","90004",0.9106,0.3224,0.8178,0.9637,0.8651,2020,"CA"
"10","90005",0.9123,0.3979,0.9152,0.9498,0.887,2020,"CA"
"11","90006",0.9694,0.6678,0.9602,0.9948,0.9839,2020,"CA"
"12","90007",0.9948,0.3022,0.8501,0.9908,0.9498,2020,"CA"
"13","90008",0.8281,0.6696,0.9481,0.707,0.8212,2020,"CA"
"14","90010",0.5519,0.1649,0.8512,0.8379,0.6309,2020,"CA"
"15","90011",0.9925,0.8824,0.9902,0.7751,0.974,2020,"CA"
"16","90012",0.9296,0.3737,0.8414,0.9937,0.917,2020,"CA"
"17","90013",0.9418,0.3489,0.7411,0.9412,0.8674,2020,"CA"
"18","90014",0.9187,0.4193,0.688,0.9602,0.8743,2020,"CA"
"19","90015",0.9141,0.3062,0.8622,0.9925,0.895,2020,"CA"
"20","90016",0.8939,0.628,0.9123,0.7607,0.8564,2020,"CA"
"21","90017",0.9504,0.7284,0.9072,0.9452,0.9516,2020,"CA"
"22","90018",0.9487,0.8495,0.9452,0.9441,0.9706,2020,"CA"
"23","90019",0.8887,0.5254,0.8287,0.94,0.8818,2020,"CA"
"24","90020",0.8766,0.1851,0.9014,0.917,0.8028,2020,"CA"
"25","90021",0.9965,0.3328,0.8022,0.9856,0.9493,2020,"CA"
"26","90022",0.9366,0.8478,0.9821,0.5461,0.8777,2020,"CA"
"27","90023",0.9775,0.9187,0.985,0.8178,0.9752,2020,"CA"
"28","90024",0.6338,0.0542,0.5358,0.9798,0.5917,2020,"CA"
"29","90025",0.4014,0.0755,0.4879,0.6378,0.3639,2020,"CA"
"30","90026",0.8374,0.3345,0.7474,0.9642,0.823,2020,"CA"
"31","90027",0.6597,0.2065,0.4446,0.9337,0.673,2020,"CA"
"32","90028",0.9118,0.2687,0.6027,0.9319,0.8108,2020,"CA"
"33","90029",0.9602,0.4308,0.7716,0.9931,0.9394,2020,"CA"
"34","90031",0.9585,0.8633,0.9325,0.8535,0.9562,2020,"CA"
"35","90032",0.8893,0.8316,0.9383,0.9043,0.9354,2020,"CA"
"36","90033",0.9579,0.9608,0.9792,0.9729,0.9954,2020,"CA"
"37","90034",0.4844,0.0646,0.6401,0.7958,0.4625,2020,"CA"
"38","90035",0.3403,0.2232,0.2791,0.7797,0.4308,2020,"CA"
"39","90036",0.4533,0.064,0.4262,0.7336,0.3875,2020,"CA"
"40","90037",0.9781,0.8818,0.985,0.9706,0.9925,2020,"CA"
"41","90038",0.9389,0.1286,0.7157,0.9775,0.8206,2020,"CA"
"42","90039",0.4994,0.1961,0.6217,0.6984,0.5433,2020,"CA"
"43","90040",0.7624,0.9712,0.9775,0.812,0.9152,2020,"CA"
"44","90041",0.4072,0.4054,0.7151,0.8852,0.6234,2020,"CA"
"45","90042",0.7641,0.4885,0.8114,0.8945,0.7999,2020,"CA"
"46","90043",0.8454,0.7307,0.9562,0.8362,0.8783,2020,"CA"
"47","90044",0.9764,0.9423,0.9885,0.8293,0.9798,2020,"CA"
"48","90045",0.2266,0.0854,0.5029,0.4954,0.2411,2020,"CA"
"49","90046",0.5536,0.1315,0.3103,0.778,0.5196,2020,"CA"
"50","90047",0.8564,0.8887,0.9827,0.684,0.8847,2020,"CA"
"51","90048",0.3322,0.1136,0.2445,0.6955,0.3426,2020,"CA"
"52","90049",0.1067,0.1373,0.203,0.549,0.1961,2020,"CA"
"53","90056",0.5646,0.6292,0.895,0.2659,0.5513,2020,"CA"
"54","90057",0.9746,0.782,0.9406,0.9614,0.9787,2020,"CA"
"55","90058",0.9625,0.925,0.8939,0.5565,0.9123,2020,"CA"
"56","90059",0.9839,0.8535,0.9879,0.887,0.9764,2020,"CA"
"57","90061",0.9319,0.9637,0.9867,0.9077,0.9815,2020,"CA"
"58","90062",0.8674,0.8645,0.9775,0.6672,0.876,2020,"CA"
"59","90063",0.9308,0.842,0.9752,0.6592,0.9002,2020,"CA"
"60","90064",0.1857,0.2659,0.4377,0.5819,0.3201,2020,"CA"
"61","90065",0.7566,0.5277,0.7607,0.729,0.7543,2020,"CA"
"62","90066",0.4602,0.1396,0.5358,0.6828,0.4729,2020,"CA"
"63","90067",0.3547,0.737,0.2837,0.4319,0.4458,2020,"CA"
"64","90068",0.436,0.0554,0.2537,0.5427,0.2797,2020,"CA"
"65","90069",0.3835,0.1125,0.2128,0.346,0.2405,2020,"CA"
"66","90071",0.3927,0.0329,0.7601,0.3333,0.2111,2020,"CA"
"67","90073",0.6269,0.3126,0.5877,0.3339,0.4885,2020,"CA"
"68","90077",0.0571,0.2624,0.1869,0.2168,0.1084,2020,"CA"
"69","90079",NA,NA,NA,NA,NA,2020,"CA"
"70","90089",0.6753,0.0127,0.6176,0.9913,0.5329,2020,"CA"
"71","90094",0.0404,0.0629,0.4008,0.1972,0.06,2020,"CA"
"72","90095",NA,NA,NA,NA,NA,2020,"CA"
"73","90201",0.9735,0.7785,0.97,0.9585,0.9775,2020,"CA"
"74","90210",0.154,0.5784,0.1228,0.3195,0.2382,2020,"CA"
"75","90211",0.4723,0.6592,0.3281,0.489,0.5242,2020,"CA"
"76","90212",0.5185,0.3149,0.2157,0.4337,0.4141,2020,"CA"
"77","90220",0.9446,0.8622,0.9827,0.91,0.9637,2020,"CA"
"78","90221",0.966,0.8414,0.989,0.7549,0.9458,2020,"CA"
"79","90222",0.9614,0.8506,0.9862,0.872,0.9625,2020,"CA"
"80","90230",0.4089,0.4873,0.6511,0.7687,0.5911,2020,"CA"
"81","90232",0.2895,0.0865,0.5669,0.5975,0.3103,2020,"CA"
"82","90240",0.5052,0.7814,0.8495,0.526,0.654,2020,"CA"
"83","90241",0.7157,0.6661,0.8593,0.7699,0.7797,2020,"CA"
"84","90242",0.7099,0.6857,0.9025,0.767,0.7866,2020,"CA"
"85","90245",0.2053,0.2428,0.4002,0.2059,0.1794,2020,"CA"
"86","90247",0.7543,0.7151,0.9469,0.9573,0.8841,2020,"CA"
"87","90248",0.6765,0.906,0.9302,0.7745,0.8339,2020,"CA"
"88","90249",0.6292,0.7757,0.8731,0.8253,0.7785,2020,"CA"
"89","90250",0.8443,0.7318,0.8973,0.8437,0.8714,2020,"CA"
"90","90254",0.0692,0.0634,0.2359,0.3812,0.0905,2020,"CA"
"91","90255",0.9821,0.8149,0.9867,0.7953,0.9579,2020,"CA"
"92","90260",0.8679,0.395,0.8506,0.6943,0.7676,2020,"CA"
