"","GEOID","RPL_theme1","RPL_theme2","RPL_theme3","RPL_theme4","RPL_themes","year","state"
"1","36001000100",0.9385,0.8961,0.7547,0.3615,0.8542,2020,"NY"
"2","36001000201",0.6883,0.6164,0.7662,0.4235,0.6679,2020,"NY"
"3","36001000202",0.8335,0.4118,0.8901,0.4435,0.7239,2020,"NY"
"4","36001000301",0.8474,0.9506,0.795,0.2855,0.8139,2020,"NY"
"5","36001000302",0.4809,0.1201,0.4939,0.359,0.3349,2020,"NY"
"6","36001000401",0.1827,0.4267,0.2691,0.4692,0.2802,2020,"NY"
"7","36001000403",0.3824,0.146,0.4403,0.1507,0.1976,2020,"NY"
"8","36001000404",0.2146,0.0057,0.5829,0.0879,0.0211,2020,"NY"
"9","36001000501",0.8789,0.9244,0.6987,0.7649,0.9048,2020,"NY"
"10","36001000502",0.6347,0.0562,0.5868,0.3481,0.3822,2020,"NY"
"11","36001000600",0.9825,0.7286,0.6945,0.7094,0.8938,2020,"NY"
"12","36001000700",0.8361,0.9278,0.8052,0.7232,0.8908,2020,"NY"
"13","36001000800",0.9659,0.9319,0.8282,0.8863,0.9659,2020,"NY"
"14","36001001100",0.8359,0.6221,0.6249,0.8603,0.8414,2020,"NY"
"15","36001001400",0.3123,0.0477,0.4384,0.4899,0.2133,2020,"NY"
"16","36001001500",0.7524,0.0673,0.578,0.8776,0.6606,2020,"NY"
"17","36001001600",0.5938,0.0926,0.5061,0.4884,0.436,2020,"NY"
"18","36001001700",0.4013,0.1084,0.4384,0.5001,0.3225,2020,"NY"
"19","36001001802",0.4465,0.231,0.3506,0.7437,0.4809,2020,"NY"
"20","36001001803",0.0558,0.0986,0.2655,0.0654,0.0253,2020,"NY"
"21","36001001804",0.3594,0.7424,0.4699,0.5059,0.5067,2020,"NY"
"22","36001001901",0.0715,0.5322,0.3596,0.0437,0.0856,2020,"NY"
"23","36001001902",0.006,0.3811,0.4045,0.1337,0.0622,2020,"NY"
"24","36001002000",0.7151,0.6557,0.656,0.7258,0.7607,2020,"NY"
"25","36001002100",0.8422,0.0421,0.637,0.6915,0.6042,2020,"NY"
"26","36001002200",0.5359,0.1965,0.5297,0.4628,0.4479,2020,"NY"
"27","36001002300",0.7405,0.476,0.6504,0.6132,0.7039,2020,"NY"
"28","36001002500",0.8163,0.9508,0.8197,0.9883,0.964,2020,"NY"
"29","36001002600",0.7586,0.7724,0.6928,0.8746,0.8512,2020,"NY"
"30","36001012700",0.7633,0.2976,0.3562,0.3968,0.5631,2020,"NY"
"31","36001012800",0.8233,0.897,0.4992,0.7794,0.8661,2020,"NY"
"32","36001012900",0.7256,0.6102,0.3394,0.6114,0.6811,2020,"NY"
"33","36001013000",0.1405,0.6104,0.1573,0.2908,0.2116,2020,"NY"
"34","36001013100",0.6055,0.6938,0.403,0.2761,0.5355,2020,"NY"
"35","36001013200",0.6361,0.9823,0.4959,0.149,0.6608,2020,"NY"
"36","36001013300",0.6941,0.3236,0.4018,0.3915,0.5386,2020,"NY"
"37","36001013400",0.4929,0.5865,0.3358,0.1906,0.3858,2020,"NY"
"38","36001013503",0.2825,0.5388,0.4756,0.4247,0.383,2020,"NY"
"39","36001013505",0.2221,0.2691,0.208,0.1277,0.128,2020,"NY"
"40","36001013507",0.0767,0.3709,0.4669,0.2444,0.1526,2020,"NY"
"41","36001013509",0.1467,0.1637,0.3115,0.2891,0.1356,2020,"NY"
"42","36001013510",0.2431,0.3979,0.5235,0.4403,0.3392,2020,"NY"
"43","36001013511",0.267,0.257,0.5904,0.3819,0.2981,2020,"NY"
"44","36001013512",0.0683,0.3753,0.2348,0.0449,0.0562,2020,"NY"
"45","36001013602",0.3481,0.5005,0.6236,0.8861,0.611,2020,"NY"
"46","36001013603",0.0592,0.0321,0.4239,0.2668,0.0436,2020,"NY"
"47","36001013604",0.2497,0.059,0.3947,0.6295,0.2365,2020,"NY"
"48","36001013703",0.231,0.1188,0.4546,0.2427,0.1584,2020,"NY"
"49","36001013706",0.0151,0.5595,0.1656,0.0283,0.0375,2020,"NY"
"50","36001013707",0.1456,0.6417,0.2947,0.3672,0.2734,2020,"NY"
"51","36001013708",0.1814,0.0732,0.2233,0.1463,0.0683,2020,"NY"
"52","36001013709",0.0292,0.3964,0.3934,0.0662,0.0609,2020,"NY"
"53","36001013802",0.0913,0.1233,0.1418,0.1075,0.0424,2020,"NY"
"54","36001013803",0.2764,0.7937,0.3687,0.1099,0.2853,2020,"NY"
"55","36001013804",0.3924,0.4807,0.3994,0.8857,0.5916,2020,"NY"
"56","36001013901",0.1233,0.1456,0.3172,0.1588,0.0837,2020,"NY"
"57","36001013902",0.1386,0.3956,0.2881,0.1303,0.1248,2020,"NY"
"58","36001014001",0.2893,0.3694,0.4829,0.6924,0.439,2020,"NY"
"59","36001014002",0.2902,0.7186,0.3358,0.3128,0.369,2020,"NY"
"60","36001014100",0.1403,0.28,0.1822,0.667,0.2616,2020,"NY"
"61","36001014201",0.1933,0.5429,0.2508,0.5039,0.3217,2020,"NY"
"62","36001014202",0.0743,0.2344,0.1239,0.1622,0.0705,2020,"NY"
"63","36001014203",0.0168,0.5591,0.202,0.1041,0.0703,2020,"NY"
"64","36001014301",0.2704,0.3949,0.2608,0.6636,0.3873,2020,"NY"
"65","36001014303",0.0173,0.4224,0.2385,0.0639,0.0483,2020,"NY"
"66","36001014304",0.096,0.162,0.2582,0.2731,0.1075,2020,"NY"
"67","36001014401",0.1688,0.138,0.0377,0.4279,0.1482,2020,"NY"
"68","36001014402",0.5414,0.2082,0.228,0.5107,0.423,2020,"NY"
"69","36001014501",0.0532,0.1037,0.1754,0,0.0038,2020,"NY"
"70","36001014502",0.1262,0.148,0.0675,0.139,0.0592,2020,"NY"
"71","36001014503",0.0221,0.4718,0.089,0.0355,0.0339,2020,"NY"
"72","36001014606",0.0713,0.1667,0.1914,0.0532,0.0334,2020,"NY"
"73","36001014608",0.2844,0.0773,0.4522,0.3319,0.1874,2020,"NY"
"74","36001014609",0.142,0.0311,0.3817,0.7168,0.1586,2020,"NY"
"75","36001014611",0.1654,0.0832,0.3349,0.4754,0.1646,2020,"NY"
"76","36001014612",0.218,0.6217,0.2846,0.2993,0.2855,2020,"NY"
"77","36001014613",0.2227,0.3396,0.1724,0.2155,0.1741,2020,"NY"
"78","36001014614",0.0319,0.4335,0.4137,0.1897,0.1154,2020,"NY"
"79","36001014615",0.1554,0.5708,0.5416,0.6229,0.393,2020,"NY"
"80","36001014616",0.0132,0.6391,0.2797,0.118,0.0913,2020,"NY"
"81","36001014617",0.0058,0.0679,0.333,0.0856,0.0106,2020,"NY"
"82","36001014700",0.0583,0.1309,0.003,0.1211,0.03,2020,"NY"
"83","36001014801",0.5037,0.3474,0.0762,0.2253,0.3053,2020,"NY"
"84","36001014802",0.0554,0.5025,0.0492,0.1957,0.1071,2020,"NY"
"85","36001014803",0.2517,0.3053,0.014,0.4771,0.2508,2020,"NY"
"86","36003940200",0,0.0272,0.4801,0,6e-04,2020,"NY"
"87","36003950100",0.2657,0.4662,0.0289,0.3144,0.2393,2020,"NY"
"88","36003950300",0.6362,0.3372,0.1179,0.8646,0.6398,2020,"NY"
"89","36003950401",0.6238,0.7113,0.1377,0.234,0.4907,2020,"NY"
"90","36003950402",0.7566,0.7454,0.0172,0.4399,0.6353,2020,"NY"
"91","36003950500",0.4697,0.6462,0.0109,0.5076,0.469,2020,"NY"
"92","36003950600",0.4232,0.7477,0.1011,0.8192,0.5923,2020,"NY"
"93","36003950700",0.3368,0.2514,0.062,0.5314,0.3017,2020,"NY"
"94","36003950800",0.436,0.0338,0.3462,0.7997,0.3481,2020,"NY"
"95","36003950900",0.5389,0.7269,0.007,0.7207,0.5953,2020,"NY"
"96","36003951000",0.5144,0.7379,0.0047,0.3973,0.4803,2020,"NY"
"97","36003951100",0.4843,0.7803,0.0762,0.6447,0.5697,2020,"NY"
"98","36003951201",0.5263,0.8114,0.0302,0.4701,0.5457,2020,"NY"
"99","36003951202",0.5082,0.7835,0.0273,0.3498,0.4771,2020,"NY"
"100","36003951301",0.4047,0.3768,0.0581,0.4128,0.3364,2020,"NY"
"101","36003951302",0.4539,0.7039,0.0324,0.3142,0.4058,2020,"NY"
"102","36005000100",0.1052,0.0164,0.8073,0.0879,0.0262,2020,"NY"
"103","36005000200",0.805,0.9768,0.9344,0.3715,0.8546,2020,"NY"
"104","36005000400",0.5586,0.7711,0.8597,0.2089,0.5657,2020,"NY"
"105","36005001600",0.8633,0.9864,0.8912,0.9447,0.9683,2020,"NY"
"106","36005001901",0.8297,0.7671,0.799,0.908,0.8921,2020,"NY"
