"","GEOID","RPL_theme1","RPL_theme2","RPL_theme3","RPL_theme4","RPL_themes","year","state"
"1","06390",0.2367,0.1736,0.6052,0.2034,0.184,2020,"NY"
"2","10001",0.4229,0.1897,0.8596,0.9358,0.6556,2020,"NY"
"3","10002",0.9536,0.9146,0.9473,0.9404,0.9685,2020,"NY"
"4","10003",0.3582,0.0831,0.7771,0.9427,0.5238,2020,"NY"
"5","10004",0.0625,0.0241,0.7897,0.8309,0.2178,2020,"NY"
"6","10005",0.0585,0.0258,0.757,0.843,0.2172,2020,"NY"
"7","10006",0.2178,0.0602,0.8178,0.7003,0.3117,2020,"NY"
"8","10007",0.0407,0.0888,0.8052,0.9673,0.3307,2020,"NY"
"9","10009",0.7587,0.4332,0.8699,0.9415,0.8436,2020,"NY"
"10","10010",0.2544,0.1645,0.8281,0.9375,0.5599,2020,"NY"
"11","10011",0.1994,0.1456,0.7628,0.9862,0.5438,2020,"NY"
"12","10012",0.4648,0.1198,0.7673,0.9908,0.6648,2020,"NY"
"13","10013",0.5083,0.2734,0.8481,0.9513,0.7324,2020,"NY"
"14","10014",0.2275,0.0619,0.6201,0.8138,0.3375,2020,"NY"
"15","10016",0.341,0.1043,0.8246,0.9198,0.5335,2020,"NY"
"16","10017",0.494,0.2269,0.7673,0.8905,0.6711,2020,"NY"
"17","10018",0.5043,0.1117,0.8785,0.9135,0.6264,2020,"NY"
"18","10019",0.4848,0.2516,0.8521,0.9398,0.7117,2020,"NY"
"19","10021",0.1536,0.2825,0.6481,0.9278,0.514,2020,"NY"
"20","10022",0.0648,0.204,0.7037,0.9117,0.3966,2020,"NY"
"21","10023",0.2006,0.3335,0.7341,0.9095,0.5628,2020,"NY"
"22","10024",0.1845,0.2991,0.6877,0.9037,0.5358,2020,"NY"
"23","10025",0.7284,0.5135,0.8596,0.988,0.8682,2020,"NY"
"24","10026",0.8802,0.506,0.9496,0.9754,0.914,2020,"NY"
"25","10027",0.9095,0.451,0.9387,0.9496,0.91,2020,"NY"
"26","10028",0.1599,0.1616,0.6607,0.8218,0.3954,2020,"NY"
"27","10029",0.9817,0.9192,0.9616,0.949,0.9811,2020,"NY"
"28","10030",0.9799,0.8705,0.9736,0.9393,0.9708,2020,"NY"
"29","10031",0.9794,0.4367,0.9564,0.8894,0.9295,2020,"NY"
"30","10032",0.9891,0.8052,0.9628,0.9874,0.9817,2020,"NY"
"31","10033",0.9702,0.6877,0.941,0.9759,0.9616,2020,"NY"
"32","10034",0.9415,0.7868,0.9542,0.8212,0.9307,2020,"NY"
"33","10035",0.9885,0.9203,0.9696,0.996,0.9903,2020,"NY"
"34","10036",0.592,0.2711,0.8659,0.9845,0.7851,2020,"NY"
"35","10037",0.9513,0.8481,0.9788,0.9043,0.9564,2020,"NY"
"36","10038",0.7765,0.3736,0.8877,0.9994,0.8825,2020,"NY"
"37","10039",0.9874,0.9215,0.9771,0.9077,0.9731,2020,"NY"
"38","10040",0.9862,0.8883,0.949,0.9547,0.9782,2020,"NY"
"39","10044",0.4178,0.3117,0.8986,0.9989,0.765,2020,"NY"
"40","10065",0.0842,0.2258,0.7209,0.8544,0.4023,2020,"NY"
"41","10069",0.5072,0.6865,0.8888,0.6682,0.71,2020,"NY"
"42","10075",0.2464,0.2837,0.7427,0.9937,0.6533,2020,"NY"
"43","10103",NA,NA,NA,NA,NA,2020,"NY"
"44","10110",NA,NA,NA,NA,NA,2020,"NY"
"45","10111",NA,NA,NA,NA,NA,2020,"NY"
"46","10112",NA,NA,NA,NA,NA,2020,"NY"
"47","10119",NA,NA,NA,NA,NA,2020,"NY"
"48","10128",0.3668,0.2585,0.7748,0.8189,0.5799,2020,"NY"
"49","10152",NA,NA,NA,NA,NA,2020,"NY"
"50","10162",0.3628,0.9576,0.7587,0.6636,0.7358,2020,"NY"
"51","10165",NA,NA,NA,NA,NA,2020,"NY"
"52","10170",NA,NA,NA,NA,NA,2020,"NY"
"53","10171",NA,NA,NA,NA,NA,2020,"NY"
"54","10173",NA,NA,NA,NA,NA,2020,"NY"
"55","10174",NA,NA,NA,NA,NA,2020,"NY"
"56","10199",NA,NA,NA,NA,NA,2020,"NY"
"57","10278",NA,NA,NA,NA,NA,2020,"NY"
"58","10279",0,0,0,0.3845,0.016,2020,"NY"
"59","10280",0.0779,0.1009,0.7897,0.6917,0.2573,2020,"NY"
